ID_REDUTOR_VELOCIDADE;NUM_PROJETO_OPERACIONAL;ENDERECO_REFERENCIA;BAIRRO;REFERENCIA_LOCALIZACAO;DATA_IMPLANTACAO;DATA_ULTIMA_MANUTENCAO;GEOMETRIA
7365;26-VHF-0000056-2008;RUA WANDER ROCHA VARGAS, 285;MINASLÂNDIA;ENTRE VDP SEM NOME E RUA PARNAIBA;2008-07-16 00:00:00;;LINESTRING (611722.89 7804621.29, 611716.24 7804624.50)
7366;22-VHF-0041588-2010;AVE WARLEY APARECIDO MARTINS, 965;SOLAR DO BARREIRO;ENTRE RUA DOIS MIL CENTO E TRINTA E CINCO E RUA VISTA DO ROLA-MOCA;2011-12-16 00:00:00;;LINESTRING (603096.64 7786871.66, 603102.32 7786868.06)
7367;;AVE WARLEY APARECIDO MARTINS, 595;SOLAR DO BARREIRO;ENTRE RUA ECOLOGICA E RUA SETE;;2021-06-24 00:00:00;LINESTRING (602962.34 7787202.22, 602957.60 7787197.06)
7368;22-VHF-0025798-2011;AVE WARLEY APARECIDO MARTINS, 513;SOLAR DO BARREIRO;ENTRE RUA ECOLOGICA E RUA SETE;2011-12-16 00:00:00;2021-06-24 00:00:00;LINESTRING (602885.54 7787272.89, 602880.48 7787267.74)
7369;22-VHF-0044762-2010;AVE WARLEY APARECIDO MARTINS, 160;VILA ECOLÓGICA;ENTRE TRV QUATRO MIL TREZENTOS E DOZE E RUA ECOLOGICA;2011-03-16 00:00:00;;LINESTRING (602588.84 7787413.52, 602589.12 7787420.28)
7370;22-VHF-0030738-2013;AVE WARLEY APARECIDO MARTINS, 859;CORUMBIARA;ENTRE RUA UNIAO E RUA LENIN;2013-08-29 00:00:00;;LINESTRING (603109.28 7787049.72, 603115.20 7787053.27)
7371;18-VHF-311885T-2021;RUA EDUARDO QUENTEL, 26;VILA AEROPORTO;ENTRE RUA LIBANIA PENA E AVE WASHINGTON LUIZ;2016-07-02 00:00:00;;LINESTRING (610523.41 7804932.15, 610528.98 7804937.32)
7372;03-VHF-0000011-2019;RUA WILMA DE ANDRADE, 237;LINDÉIA;ENTRE RUA MANOEL PAULINO E RUA ALFAR GOMES;2019-05-28 00:00:00;;LINESTRING (598074.31 7790964.74, 598080.81 7790962.77)
7374;22-VHF-013084T-2016;RUA WILSON TAVARES RIBEIRO, 475;TEIXEIRA DIAS;ENTRE RUA MARIA AMELIA PIMENTA E RUA ADELINA SERVE MACHADO;2018-02-27 00:00:00;;LINESTRING (602583.56 7789676.61, 602591.83 7789679.44)
7375;22-VHF-0016610-2012;AVE XIMANGO, 609;FLÁVIO MARQUES LISBOA;ENTRE RUA SAO GERALDO E RUA FLAMENGO;2012-08-23 00:00:00;;LINESTRING (604484.01 7788358.76, 604487.50 7788365.62)
7376;18-VHF-0062555-2015;RUA ZAIRE, 242;CANAÃ;ENTRE VDP QUATRO MIL DUZENTOS E CINQUENTA E CINCO E RUA LUANDA;2020-04-30 00:00:00;;LINESTRING (610216.09 7810735.14, 610212.39 7810742.43)
7377;;RUA ZELIA JACINTA DA COSTA, 32;JARDIM VITÓRIA;ENTRE RUA ELISA MOREIRA DE ARAUJO E RUA PROFESSOR AMILCAR VIANA MARTINS;;2015-09-25 00:00:00;LINESTRING (616822.63 7804763.32, 616814.53 7804763.05)
7378;;RUA ZILAH CORREA DE ARAUJO, 264;OURO PRETO;ENTRE RUA BRASILEIA E RUA CANDIDO NAVES;;2014-02-25 00:00:00;LINESTRING (606353.11 7802539.83, 606360.00 7802537.37)
7379;; , ;;ENTRE RUA AFONSO RASO E RUA BRASILEIA;;;LINESTRING (606336.42 7802492.72, 606343.16 7802490.29)
7380;;RUA ZILAH CORREA DE ARAUJO, 452;OURO PRETO;ENTRE RUA CANDIDO NAVES E RUA MANTENA;;;LINESTRING (606437.86 7802753.01, 606431.36 7802755.29)
7381;22-VHF-028286T-2017;RUA VITORIA REGIA, 180;LINDÉIA;ENTRE RUA ALAMANDA E RUA IRIS;2017-12-21 00:00:00;;MULTILINESTRING ((599019.17 7790941.56, 599014.22 7790937.01))
7401;22-VHF-0024921-2013;RUA PINHEIRO CHAGAS, 197;BARREIRO;ENTRE RUA COSTA BELEM E RUA SANTA MARIA GORETTI;2014-05-17 00:00:00;;MULTILINESTRING ((603254.32 7790514.05, 603261.40 7790515.57))
7421;22-VHF-0007589-2011;RUA FRANCISCO DUARTE MENDONCA, 321;TEIXEIRA DIAS;ENTRE RUA LEVINDO DE OLIVEIRA E RUA DEBORAH MARIA CRUZ;2011-05-17 00:00:00;;MULTILINESTRING ((603040.83 7789643.86, 603047.17 7789646.09))
7457;03-VHF-0000011-2019;RUA DONA JUDITH DE MORAIS E BARROS, 713;LINDÉIA;ENTRE RUA EUSTAQUIO LUIZ DOS SANTOS E RUA JOSE ANGELO;2019-05-28 00:00:00;;MULTILINESTRING ((598552.76 7790484.41, 598547.44 7790480.16))
7458;22-VHF-0041462-2009;RUA DAS PETUNIAS, 3109;LINDÉIA;ENTRE AVE DOS JARDINS E RUA NICOMEDES JOSE DUARTE;2010-10-19 00:00:00;;MULTILINESTRING ((600167.88 7790276.04, 600169.35 7790268.22))
7482;;RUA DOUTOR GERALDO STARLING SOARES, 554;LINDÉIA;ENTRE RUA PROFESSOR JOSE MAURICIO E RUA SOLON CARDOSO NAVES;;;MULTILINESTRING ((598745.41 7790230.10, 598747.87 7790236.91))
7483;22-VHF-0000061-2010;RUA DO CARMO, 371;JATOBÁ;ENTRE RUA DEZENOVE DE MARCO E RUA CORONEL ANTONIO PEREIRA DE MATOS;2012-02-01 00:00:00;;MULTILINESTRING ((598930.19 7789616.56, 598923.78 7789615.86))
7484;22-VHF-067047T-2018;RUA JULIO MESQUITA, 84;MARILÂNDIA;ENTRE RUA SUMARE E RUA AGUAS DE LINDOIA;2018-05-22 00:00:00;;MULTILINESTRING ((599299.03 7788566.59, 599304.05 7788559.14))
