ID_SINALIZACAO_SEMAFORICA;COD_SINALIZACAO_SEMAFORICA;NOME;TP_TRAVESSIA_PEDESTRE;BOTOEIRA;BOTOEIRA_SONORA;LACO_DETECTOR_VEICULAR;QTD_TR_C_FOCO;QTD_TR_S_FOCO;GEOMETRIA
835;S8001;ALMIRANTE ALEXANDRINO - ANDRE CAVALCANTI;Travessia Total;Não;Não;Não;4;0;POINT (609232.52 7795582.81)
836;S8002;ALMIRANTE ALEXANDRINO - GENERAL DIONISIO CERQUEIRA;Travessia Total;Não;Não;Não;4;0;POINT (609156.76 7795293.15)
837;S8003;ALMIRANTE ALEXANDRINO - LUDGERO DOLABELA;Travessia Incompleta;Não;Não;Não;3;2;POINT (609180.98 7795391.54)
838;S8004;AMAZONAS (5o.BATALHAO);Travessia Total;Não;Não;Não;5;0;POINT (605626.60 7795659.23)
839;S8005;AMAZONAS (CARDIESEL);Somente Pedestre;Não;Não;Não;2;0;POINT (604119.86 7794300.00)
840;S8006;AMAZONAS (COLEGIO SALESIANO);Somente Pedestre;Sim;Não;Não;2;0;POINT (605386.79 7795540.11)
841;S8007;AMAZONAS - ANEL RODOVIARIO;Travessia sem Foco de Pedestre;Não;Não;Não;0;0;POINT (604024.93 7794163.34)
842;S8008;AMAZONAS - ARISTOTELES CALDEIRA;Travessia Incompleta;Não;Não;Não;4;0;POINT (608188.97 7795805.01)
843;S8009;AMAZONAS - CEFET II;Somente Pedestre;Não;Não;Não;2;0;POINT (604734.56 7795070.81)
844;S8010;AMAZONAS - CONDE PEREIRA CARNEIRO;Travessia Parcial;Não;Não;Não;4;0;POINT (606173.70 7795789.23)
845;S8011;AMAZONAS - D (MARIA MADALENA CAMARGOS);Somente Pedestre;Não;Não;Não;2;0;POINT (604288.15 7794558.05)
846;S8012;AMAZONAS - DES. BARCELOS;Travessia Total;Não;Não;Não;7;0;POINT (607287.16 7795985.01)
847;S8013;AMAZONAS - ENG. FELIPE CALDAS (CANDIDO DE SOUSA);Travessia sem Foco de Pedestre;Não;Não;Não;0;1;POINT (606249.42 7795806.46)
848;S8014;AMAZONAS - FRANCISCO SA;Travessia Incompleta;Não;Não;Não;4;2;POINT (608852.55 7795926.14)
849;S8015;AMAZONAS - GAL.ANDRADE NEVES - CHAPECO;Travessia Incompleta;Não;Não;Não;3;0;POINT (608679.70 7795886.30)
850;S8016;AMAZONAS - HOSPITAL SARA KUBSTICHEK;Somente Pedestre;Não;Não;Não;2;0;POINT (605780.49 7795696.99)
851;S8017;AMAZONAS - J (VEREADOR ANTONIO ZANDONA);Travessia sem Foco de Pedestre;Não;Não;Não;0;4;POINT (604241.83 7794488.01)
852;S8018;AMAZONAS - JOSE DE ALENCAR;Travessia Incompleta;Não;Não;Não;3;1;POINT (606755.32 7795892.97)
853;S8019;AMAZONAS - JUSCELINO BARBOSA;Somente Pedestre;Não;Não;Não;2;0;POINT (606847.33 7795912.93)
854;S8020;AMAZONAS - LIMOEIRO;Somente Pedestre;Não;Não;Não;2;0;POINT (607360.41 7795960.74)
855;S8021;AMAZONAS - MARANGUAPE;Somente Pedestre;Não;Não;Não;2;0;POINT (607958.25 7795817.85)
856;S8022;AMAZONAS - MIGUEL GENTIL;Travessia sem Foco de Pedestre;Não;Não;Não;0;0;POINT (605154.30 7795130.90)
857;S8023;AMAZONAS - MONTE SIMPLON;Somente Pedestre;Não;Não;Não;2;0;POINT (606531.22 7795874.35)
858;S8024;AMAZONAS - OLINDA;Travessia sem Foco de Pedestre;Não;Não;Não;0;1;POINT (607450.33 7795929.74)
859;S8025;AMAZONAS - OSCAR NEGRAO DE LIMA;Travessia Incompleta;Não;Não;Não;3;0;POINT (604983.51 7795068.31)
860;S8026;AMAZONAS - PASSAGEM DE PEDESTRES - DEUS E AMOR;Somente Pedestre;Não;Não;Não;2;0;POINT (604356.68 7794665.24)
861;S8027;AMAZONAS - RIO NEGRO;Travessia Incompleta;Não;Não;Não;2;0;POINT (608259.59 7795804.81)
862;S8028;AMAZONAS - SARARE;Travessia Incompleta;Não;Não;Não;2;0;POINT (604436.29 7794784.14)
863;S8029;AMAZONAS - TAPERI;Travessia Incompleta;Não;Não;Não;2;1;POINT (604563.33 7794978.02)
864;S8030;AMAZONAS - TOBIAS BARRETO;Travessia Parcial;Não;Não;Não;5;0;POINT (607163.73 7796005.10)
865;S8031;AMAZONAS - VISCONDE DE CAIRU;Travessia Incompleta;Não;Não;Não;2;1;POINT (604069.84 7794222.40)
866;S8032;AMAZONAS - ZURICK;Travessia Incompleta;Não;Não;Não;3;0;POINT (606621.25 7795894.41)
867;S8033;BARAO HOMEM DE MELO - 36 (RECREIO);Travessia Parcial;Sim;Não;Sim;4;0;POINT (608786.56 7792039.61)
868;S8034;BARAO HOMEM DE MELO - BOTUROBI;Travessia sem Foco de Pedestre;Não;Não;Não;0;1;POINT (607508.95 7795049.03)
869;S8035;BARAO HOMEM DE MELO - CONSELHEIRO JOAQUIM CAETANO;Travessia Incompleta;Não;Não;Não;3;0;POINT (607866.86 7793816.57)
870;S8036;BARAO HOMEM DE MELO - DOMINGOS GANDRA;Travessia Incompleta;Não;Não;Não;3;0;POINT (608021.19 7793514.56)
